Scenario,Category,Violation,Number of Offense,Sanction
A student was spotted wearing casual clothes while attending classes in the computer laboratory.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,1st Offense,Violation slip issued by the SDO
A student was seen entering the LRC without wearing the prescribed university uniform.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,1st Offense,Violation slip issued by the SDO
"During a campus event, a student was found wearing shorts instead of the required uniform.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,2nd Offense,Violation slip and a written warning issued by the SDO
A student was caught wearing a jeans in the cafeteria during class hours.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,2nd Offense,Violation slip and a written warning issued by the SDO
"A student attended a lecture in the AVR wearing a t-shirt and sneakers, contrary to the dress code.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,1st Offense,Violation slip issued by the SDO
A student entered the university’s in streetwear rather than the prescribed uniform.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,2nd Offense,Violation slip and a written warning issued by the SDO
Security reported a student walking around the university in non-uniform clothing during school hours.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,1st Offense,Violation slip issued by the SDO
"A student was observed in the library lounge without the correct uniform, instead wearing casual shorts and sandals.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,2nd Offense,Violation slip and a written warning issued by the SDO
"A group of students was seen leaving the gym in non-uniform attire, heading directly to class without changing into their uniforms.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student attended a laboratory class in a casual outfit without wearing the mandated lab uniform.,Minor Offenses,Non-wearing of the prescribed uniform inside the campus,2nd Offense,Violation slip and a written warning issued by the SDO
"A student was noticed walking through the university corridors wearing a jacket and jeans, not adhering to the uniform policy.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,1st Offense,Violation slip issued by the SDO
"While attending a seminar in the AVR, a student was found not wearing the required uniform, opting for everyday clothes.",Minor Offenses,Non-wearing of the prescribed uniform inside the campus,3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student failed to present their ID when entering the campus entrance in the morning.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,1st Offense,Violation slip issued by the SDO
A student was found attending a university-wide seminar without their ID.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,1st Offense,Violation slip issued by the SDO
A student participated in an official university sports event off-campus without bringing their ID.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,2nd Offense,Violation slip and a written warning issued by the SDO
"During a surprise inspection at the library, a student was unable to show their university ID.",Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,2nd Offense,Violation slip and a written warning issued by the SDO
A student forgot their ID and was denied entry to the university.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,1st Offense,Violation slip issued by the SDO
A student attending a field trip representing the university was not carrying their ID.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,2nd Offense,Violation slip and a written warning issued by the SDO
A student was stopped by security personnel for walking on campus without displaying their ID.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,1st Offense,Violation slip issued by the SDO
A student attended a NU Bites outside the campus and forgot to bring their ID.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,2nd Offense,Violation slip and a written warning issued by the SDO
"A student entered the school without wearing their ID, which is required for identification.",Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
"A student was asked for their ID at an on-campus event and could not present it, claiming it was left at home.",Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,1st Offense,Violation slip issued by the SDO
